Title,Estado,Edad,Tematica,Inicio_evento,Fin_evento,Lugar,Created
9510,confirmado,1,bautiso,2024-06-02T21:30:00Z,2024-06-03T01:30:00Z,SUM,2024-04-18T17:58:39Z
9532,finalizado,1,mickey safari,2024-06-22T16:00:00Z,2024-06-22T20:00:00Z,Salón,2024-04-18T19:04:52Z
9533,confirmado,50,CUMPLEAÑOS DE 40 (HOMBRE),2024-05-18T22:00:00Z,2024-05-18T05:00:00Z,SUM,2024-04-19T16:58:51Z
9536,confirmado,50,40,2024-06-16T00:00:00Z,2024-06-15T06:00:00Z,SUM,2024-04-19T21:22:44Z
9538,confirmado,5,HOT WHEELS,2024-07-07T20:00:00Z,2024-07-07T22:30:00Z,Salón,2024-04-21T13:37:45Z
9541,confirmado,1,Mickey safari,2024-10-19T15:00:00Z,2024-10-19T20:00:00Z,Salón,2024-04-22T14:56:46Z
9543,confirmado,1,animalitos en safari,2024-06-30T16:01:00Z,2024-06-30T20:00:00Z,Casa,2024-04-22T17:20:32Z
9545,confirmado,1,winnie the pooh,2024-07-20T16:00:00Z,2024-07-20T03:00:00Z,Salón,2024-04-22T17:59:14Z
9549,confirmado,7,CIRCO,2024-08-10T17:00:00Z,2024-08-10T20:00:00Z,Salón,2024-04-22T23:19:38Z
9550,finalizado,0, Bautismo,2024-05-18T16:00:00Z,2024-05-18T03:00:00Z,Casa,2024-04-23T13:54:04Z
9552,confirmado,1,hh,2024-09-14T16:00:00Z,2024-09-14T21:00:00Z,SUM,2024-04-23T15:18:11Z
9551,confirmado,5,bb,2024-12-14T14:30:00Z,2024-12-14T03:00:00Z,Casa,2024-04-23T17:44:59Z
9557,finalizado,0,Arca de Noé ,2024-06-02T19:30:00Z,2024-06-02T22:00:00Z,SUM,2024-04-23T19:54:26Z
9558,confirmado,1,zenon en especial de Bartolito,2024-05-25T18:30:00Z,2024-05-25T22:00:00Z,SUM,2024-04-23T20:02:32Z
9559,confirmado,1,Conejita,2024-10-13T16:00:00Z,2024-10-13T21:30:00Z,Casa,2024-04-23T21:35:28Z
9561,confirmado,1,Aun no sabemos,2024-09-20T19:00:00Z,2024-09-20T23:00:00Z,Casa,2024-04-24T00:49:56Z
9563,finalizado,1,Rey Leon,2024-06-20T16:00:00Z,2024-06-20T21:00:00Z,Salón,2024-04-24T14:15:59Z
9556,confirmado,5,Vampirina,2024-06-09T19:25:00Z,2024-06-09T03:00:00Z,SUM,2024-04-25T00:04:26Z
9565,completado,5,LADY BAG - MIRACULOUS,2024-06-30T17:00:00Z,2024-06-30T21:00:00Z,Casa,2024-04-25T00:18:22Z
9566,confirmado,5,Barbie,2024-07-14T18:00:00Z,2024-07-14T22:00:00Z,Casa,2024-04-25T00:25:00Z
9568,completado,2,Cumpleaños infantil,2024-08-10T16:00:00Z,2024-08-10T21:00:00Z,Casa,2024-04-25T01:49:11Z
9567,confirmado,1,Winnie the pooh,2024-06-23T18:00:00Z,2024-06-23T22:00:00Z,Casa,2024-04-25T01:58:59Z
